ID,sentence,sentence_shuffled
783,scrooge and the phantom came into the presence of this man just as a woman with a heavy bundle slunk into the shop,of into phantom just a came a bundle as man the scrooge with heavy the shop presence and into this the slunk woman
784,but she had scarcely entered when another woman similarly laden came in too and she was closely followed by a man in faded black who was no less startled by the sight of them than they had been upon the recognition of each other,been startled followed man no but had was a she who she in recognition laden faded came of upon too and scarcely the in than had black they less entered woman another by by similarly when closely each sight of the other them was
785,after a short period of blank astonishment in which the old man with the pipe had joined them they all three burst into a laugh,short they into of period astonishment a after old pipe the blank them laugh three all with in the burst a which had joined man
786,let the charwoman alone to be the first cried she who had entered first,entered first had the let charwoman who she the to first cried alone be
787,let the laundress alone to be the second and let the undertakers man alone to be the third,to the undertakers alone be laundress man the third the alone second to the and let be let
788,look here old joe heres a chance if we havent all three met here without meaning it you couldnt have met in a better place said old joe removing his pipe from his mouth,you heres we if havent joe better said all old met removing meaning couldnt have look it here from place his here old mouth joe chance without three a pipe met a in his
789,come into the parlour,into parlour the come
790,you were made free of it long ago you know and the other two ant strangers,long other know you it ant ago the were strangers made you of two and free
791,stop till i shut the door of the shop,of shop till the shut the door i stop
792,ah how it skreeks there ant such a rusty bit of metal in the place as its own hinges i believe and im sure theres no such old bones here as mine,as bones old in there hinges im sure such its a theres mine how ah such skreeks no bit rusty metal own place i as it the ant of here and believe
793,ha ha were all suitable to our calling were well matched,our were all matched were suitable calling ha ha well to
794,come into the parlour,the come into parlour
795,come into the parlour the parlour was the space behind the screen of rags,parlour parlour screen come the the behind the of rags space was into the
796,the old man raked the fire together with an old stairrod and having trimmed his smoky lamp (for it was night) with the stem of his pipe put it in his mouth again,it fire together put of having pipe the lamp trimmed was stem (for the his the his smoky night) in with man with raked again an old it his old mouth stairrod and
797,while he did this the woman who had already spoken threw her bundle on the floor and sat down in a flaunting manner on a stool crossing her elbows on her knees and looking with a bold defiance at the other two,stool woman other a bold already a and flaunting with this down the her a manner floor on crossing and who her at knees in while the on threw defiance elbows he did two looking bundle sat the on her spoken had
798,what odds then what odds mrs dilber said the woman,dilber the what mrs then odds what odds woman said
799,every person has a right to take care of themselves,to every person has of take care a right themselves
800,he always did thats true indeed said the laundress,said thats the always true he did indeed laundress
801,no man more so why then dont stand staring as if you was afraid woman whos the wiser were not going to pick holes in each others coats i suppose no indeed said mrs dilber and the man together,so why was and indeed i coats no dilber going man holes more stand pick if the dont together as not whos the each then to mrs wiser you woman in others man suppose were no staring said afraid
802,we should hope not very well then cried the woman,hope not very well woman cried then we should the
803,thats enough,enough thats
804,whos the worse for the loss of a few things like these not a dead man i suppose no indeed said mrs dilber laughing,few the suppose these things said dilber laughing a for like mrs loss worse of no the man not a dead i whos indeed
805,if he wanted to keep em after he was dead a wicked old screw pursued the woman why wasnt he natural in his lifetime if he had been hed have had somebody to look after him when he was struck with death instead of lying gasping out his last there alone by himself its the truest word that ever was spoke said mrs dilber its a judgment on him i wish it was a little heavier judgment replied the woman and it should have been you may depend upon it if i could have laid my hands on anything else,wasnt he wanted pursued natural instead a was have of have been i his when judgment laid with dead anything screw a was the if wicked had ever gasping replied had a should its him that lifetime have last his word to wish the himself spoke could my he he mrs depend woman by hed may woman after alone em and lying was heavier look said him you little if he out to hands it old the it been why there on truest death dilber if on was upon it keep somebody judgment in after i he struck its else
806,open that bundle old joe and let me know the value of it,and of it joe that know let bundle old open the value me
807,speak out plain,plain out speak
808,im not afraid to be the first nor afraid for them to see it,it not be see the to first im for afraid to them afraid nor
809,we know pretty well that we were helping ourselves before we met here i believe,know well helping before i ourselves were we we met believe here we pretty that
810,its no sin,no sin its
811,open the bundle joe but the gallantry of her friends would not allow of this and the man in faded black mounting the breach first produced his plunder,breach his friends bundle produced joe the the in this mounting the plunder but faded and of black open the allow would not her man of gallantry first
812,it was not extensive,it was not extensive
813,a seal or two a pencilcase a pair of sleevebuttons and a brooch of no great value were all,sleevebuttons a of no all were of a great value two seal pair a and a or brooch pencilcase
814,they were severally examined and appraised by old joe who chalked the sums he was disposed to give for each upon the wall and added them up into a total when he found there was nothing more to come,severally who total was chalked joe them the come to nothing to he more when wall examined a into by he were and for sums old disposed give each upon and appraised the up added found was they there
815,thats your account said joe and i wouldnt give another sixpence if i was to be boiled for not doing it,joe be your account another for sixpence it i if boiled thats to and give doing was not i wouldnt said
816,whos next mrs dilber was next,mrs next next dilber was whos
817,sheets and towels a little wearing apparel two oldfashioned silver teaspoons a pair of sugartongs and a few boots,towels apparel few a wearing sugartongs a boots and silver little of teaspoons sheets pair oldfashioned a two and
818,her account was stated on the wall in the same manner,in stated wall on her same manner the account the was
819,i always give too much to ladies,too to give ladies i always much
820,its a weakness of mine and thats the way i ruin myself said old joe thats your account,ruin of thats i way thats joe weakness myself account your old its and a the mine said
821,if you asked me for another penny and made it an open question id repent of being so liberal and knock off halfacrown and now undo my bundle joe said the first woman,it and open woman of joe and id another so an question my and now penny asked first said if being the knock off halfacrown me undo repent made liberal bundle you for
822,joe went down on his knees for the greater convenience of opening it and having unfastened a great many knots dragged out a large and heavy roll of some dark stuff,and out on having opening some joe the of convenience knees greater went large roll great a dark heavy it unfastened of a stuff his knots for and down dragged many
823,what do you call this said joe bedcurtains ah returned the woman laughing and leaning forward on her crossed arms,leaning ah what you the said this call forward on her joe returned woman arms crossed bedcurtains and laughing do
824,bedcurtains you dont mean to say you took em down rings and all with him lying there said joe yes i do replied the woman,with you joe yes i him say dont took replied do down bedcurtains lying all em to there you the and said rings mean woman
825,why not you were born to make your fortune said joe and youll certainly do it i certainly shant hold my hand when i can get anything in it by reaching it out for the sake of such a man as he was i promise you joe returned the woman coolly,to not joe fortune out you when in shant get he sake i the for it as a promise youll of and born your you certainly anything man certainly i it such reaching joe said were do hold hand i my can woman the was coolly returned make by why it
826,dont drop that oil upon the blankets now his blankets asked joe whose elses do you think replied the woman,whose upon think replied elses the the asked joe blankets do dont now woman you that his blankets drop oil
827,he isnt likely to take cold without em i dare say i hope he didnt die of anything catching eh said old joe stopping in his work and looking up,stopping die old he up of hope joe in take eh and dare work i catching anything didnt say em cold likely looking i his he to without isnt said
828,dont you be afraid of that returned the woman,the woman dont be that afraid you returned of
829,i ant so fond of his company that id loiter about him for such things if he did,things ant such did that fond his for him i so if he company loiter id of about
830,ah you may look through that shirt till your eyes ache but you wont find a hole in it nor a threadbare place,ah nor till threadbare in it you you find but may shirt that a eyes wont hole ache place look a your through
831,its the best he had and a fine one too,its he one a fine too the and best had
832,theyd have wasted it if it hadnt been for me what do you call wasting of it asked old joe putting it on him to be buried in to be sure replied the woman with a laugh,laugh woman it joe sure theyd putting buried with be asked it to in to it what me hadnt been wasted a call do if for you the on of him old be have it replied wasting
833,somebody was fool enough to do it but i took it off again,fool enough again somebody it i do off it took was but to
834,if calico ant good enough for such a purpose it isnt good enough for anything,calico a purpose for anything enough good for isnt if good ant enough it such
835,its quite as becoming to the body,quite as to body the its becoming
836,he cant look uglier than he did in that one scrooge listened to this dialogue in horror,dialogue he in this did he horror cant that than scrooge to one in listened look uglier
837,as they sat grouped about their spoil in the scanty light afforded by the old mans lamp he viewed them with a detestation and disgust which could hardly have been greater though they had been obscene demons marketing the corpse itself,and disgust detestation obscene been they mans itself demons afforded light viewed been in which lamp with had scanty marketing could spoil as old their the by greater about though grouped he corpse have hardly they them sat the the a
838,ha ha laughed the same woman when old joe producing a flannel bag with money in it told out their several gains upon the ground,ha flannel producing ground the when with ha joe in old told upon money their out laughed a same the gains bag woman it several
839,this is the end of it you see he frightened every one away from him when he was alive to profit us when he was dead ha ha ha spirit said scrooge shuddering from head to foot,he scrooge when see spirit ha head was it of ha you frightened to this us from profit ha when was is dead to foot said shuddering he one he from end away every alive the him
840,i see i see,i i see see
841,the case of this unhappy man might be my own,man be own might of this the my unhappy case
842,my life tends that way now,tends that life my now way
843,merciful heaven what is this he recoiled in terror for the scene had changed and now he almost touched a bed a bare uncurtained bed on which beneath a ragged sheet there lay a something covered up which though it was dumb announced itself in awful language,bed bare recoiled merciful uncurtained changed now which though terror what he beneath a the which heaven scene covered dumb this announced bed sheet a it had is almost a a he touched was something in up there on in and language for lay ragged awful itself
844,the room was very dark too dark to be observed with any accuracy though scrooge glanced round it in obedience to a secret impulse anxious to know what kind of room it was,of very to dark dark impulse scrooge kind in a room secret anxious obedience was accuracy round be any though it with to observed what it too room know was glanced the to
845,a pale light rising in the outer air fell straight upon the bed and on it plundered and bereft unwatched unwept uncared for was the body of this man,this fell the pale outer for a straight uncared it the air and bereft unwept body in unwatched light upon bed of was man on the rising plundered and
846,scrooge glanced towards the phantom its steady hand was pointed to the head,towards to scrooge the pointed head phantom was glanced hand its steady the
847,the cover was so carelessly adjusted that the slightest raising of it the motion of a finger upon scrooges part would have disclosed the face,motion the the raising the was of slightest scrooges have part face finger that cover so would the upon a disclosed of carelessly adjusted it
848,he thought of it felt how easy it would be to do and longed to do it but had no more power to withdraw the veil than to dismiss the spectre at his side,more felt it side thought power the had his longed and dismiss do how of to withdraw veil no it but to it would to easy he the at be do spectre than to
849,oh cold cold rigid dreadful death set up thine altar here and dress it with such terrors as thou hast at thy command for this is thy dominion but of the loved revered and honoured head thou canst not turn one hair to thy dread purposes or make one feature odious,not for altar one death as but here feature cold this head terrors oh hair thou odious and at cold thy or thy is rigid command loved the revered make turn with purposes and up one such canst dread dreadful thine thy it of thou dress hast honoured set dominion to
850,it is not that the hand is heavy and will fall down when released it is not that the heart and pulse are still but that the hand was open generous and true the heart brave warm and tender and the pulse a mans,and heart down warm but brave the is and tender was that mans still it generous fall and the pulse that is the not heavy not and will released true a when it that is pulse and the hand open hand heart are the
851,strike shadow strike and see his good deeds springing from the wound to sow the world with life immortal no voice pronounced these words in scrooges ears and yet he heard them when he looked upon the bed,strike springing looked them immortal to no with voice and when bed he life world the upon scrooges shadow wound strike good heard from sow see his and he ears the yet the deeds in pronounced words these
852,he thought if this man could be raised up now what would be his foremost thoughts avarice harddealing griping cares they have brought him to a rich end truly he lay in the dark empty house with not a man a woman or a child to say that he was kind to me in this or that and for the memory of one kind word i will be kind to him,kind word or he say this rich one griping and this foremost to kind kind what be man was a memory he with would thoughts will woman not to that harddealing man truly avarice thought the in dark that could if house now for brought or cares lay to i him have him raised a be of be me he his in they end child empty a up to a the
853,a cat was tearing at the door and there was a sound of gnawing rats beneath the hearthstone,beneath the a sound and cat there rats at door a was the was tearing gnawing hearthstone of
854,what they wanted in the room of death and why they were so restless and disturbed scrooge did not dare to think,think wanted why room and and they the disturbed so what in they dare to were of not scrooge did restless death
855,spirit he said this is a fearful place,a fearful is this spirit he said place
856,in leaving it i shall not leave its lesson trust me,lesson shall trust in its i me it leaving not leave
857,let us go still the ghost pointed with an unmoved finger to the head,an to unmoved finger still us with the the go head pointed ghost let
858,i understand you scrooge returned and i would do it if i could,and you returned i would i if do scrooge understand i it could
859,but i have not the power spirit i have not the power again it seemed to look upon him,have the the not spirit upon it power seemed again i look power to but have not i him
860,if there is any person in the town who feels emotion caused by this mans death said scrooge quite agonised show that person to me spirit i beseech you the phantom spread its dark robe before him for a moment like a wing and withdrawing it revealed a room by daylight where a mother and her children were,person person moment it spirit him a in town phantom like that you death wing a emotion where mans by and i and quite this dark room agonised said show the for who there caused before spread were revealed mother by me a to her any scrooge is withdrawing its beseech a robe if the daylight feels children
861,she was expecting some one and with anxious eagerness for she walked up and down the room started at every sound looked out from the window glanced at the clock tried but in vain to work with her needle and could hardly bear the voices of the children in their play,room with could was the with the the their glanced but clock at and tried sound for bear her play work hardly down in vain up and eagerness she at started the voices children walked window looked the anxious needle every of some expecting in and she out one from to
862,at length the longexpected knock was heard,the longexpected knock was at length heard
863,she hurried to the door and met her husband a man whose face was careworn and depressed though he was young,careworn young though the a man and was she face husband and hurried was whose met he her to depressed door
864,there was a remarkable expression in it now a kind of serious delight of which he felt ashamed and which he struggled to repress,delight kind remarkable it he struggled of serious ashamed expression which was to in and a which felt of repress now he there a
865,he sat down to the dinner that had been hoarding for him by the fire and when she asked him faintly what news (which was not until after a long silence) he appeared embarrassed how to answer,not she the and by he the what to long answer sat had faintly to appeared down for news when fire dinner that him him he (which after asked a been was embarrassed hoarding how silence) until
866,is it good she said or badto help him,good is him she said it badto help or
867,bad he answered,bad answered he
868,we are quite ruined no,quite ruined are no we
869,there is hope yet caroline if he relents she said amazed there is nothing is past hope if such a miracle has happened he is past relenting said her husband,yet her is if said she is relents amazed there is he past is if caroline hope has said hope he such happened a miracle relenting husband there nothing past
870,he is dead she was a mild and patient creature if her face spoke truth but she was thankful in her soul to hear it and she said so with clasped hands,her a creature thankful in and was her so he was with dead she is hands hear soul patient she but and to truth clasped she it mild said spoke if face
871,she prayed forgiveness the next moment and was sorry but the first was the emotion of her heart,of she heart the was the prayed and her but sorry the moment was emotion forgiveness first next
872,what the halfdrunken woman whom i told you of last night said to me when i tried to see him and obtain a weeks delay and what i thought was a mere excuse to avoid me turns out to have been quite true,obtain i you and to to me mere and him see tried weeks have said when me was true what turns a last what a delay woman quite to to i i night whom thought avoid of been told halfdrunken out excuse the
873,he was not only very ill but dying then to whom will our debt be transferred i dont know,very then dying to know our he only but dont ill whom debt was i transferred be will not
874,but before that time we shall be ready with the money and even though we were not it would be a bad fortune indeed to find so merciless a creditor in his successor,we were with so creditor merciless ready be the to but find even fortune before indeed be would that and bad successor a we though it his a time shall not money in
875,we may sleep tonight with light hearts caroline yes soften it as they would their hearts were lighter,lighter may they tonight as would sleep we light caroline hearts with their it yes hearts were soften
876,the childrens faces hushed and clustered round to hear what they so little understood were brighter and it was a happier house for this mans death the only emotion that the ghost could show him caused by the event was one of pleasure,for hear brighter faces death little childrens were it and was understood was house the emotion one mans of him what the could this clustered show happier by the caused to round a ghost that event and the hushed only pleasure they so
877,let me see some tenderness connected with a death said scrooge or that dark chamber spirit which we left just now will be for ever present to me the ghost conducted him through several streets familiar to his feet and as they went along scrooge looked here and there to find himself but nowhere was he to be seen,him just will through me now the along some they his death connected find ever he spirit feet seen went present scrooge which was several ghost nowhere that be be me for to see chamber dark to there or streets and said as but scrooge left tenderness himself here conducted looked let we and to a familiar to with
878,they entered poor bob cratchits house the dwelling he had visited before and found the mother and the children seated round the fire,mother house children seated he the entered visited the before and round fire dwelling had and bob they the found cratchits the poor
879,quiet very quiet,quiet very quiet
880,the noisy little cratchits were as still as statues in one corner and sat looking up at peter who had a book before him,had peter statues cratchits book one sat up in and as him the corner at a looking who still before noisy were as little
881,the mother and her daughters were engaged in sewing,mother her sewing were and engaged the in daughters
882,but surely they were very quiet and he took a child and set him in the midst of them where had scrooge heard those words he had not dreamed them,those had scrooge and surely where quiet them him the midst had dreamed but of set were very he not child in words took them they heard he and a
883,the boy must have read them out as he and the spirit crossed the threshold,must and he the them have the the spirit crossed threshold out boy read as
884,why did he not go on the mother laid her work upon the table and put her hand up to her face,up face table upon on why hand her her the put not he go laid the and work did her to mother
885,the colour hurts my eyes she said,hurts my she the said eyes colour
886,the colour ah poor tiny tim theyre better now again said cratchits wife,now the wife again better ah theyre colour cratchits poor tiny tim said
887,it makes them weak by candlelight and i wouldnt show weak eyes to your father when he comes home for the world,them it world father candlelight weak i and comes the weak by to your eyes wouldnt for makes when home show he
888,it must be near his time past it rather peter answered shutting up his book,shutting it near book his peter up answered time be rather his must it past
889,but i think he has walked a little slower than he used these few last evenings mother they were very quiet again,used very but he these he mother walked evenings quiet were a few i last slower they has think little than again
890,at last she said and in a steady cheerful voice that only faltered once i have known him walk withi have known him walk with tiny tim upon his shoulder very fast indeed and so have i cried peter often and so have i exclaimed another,in a tiny known she i steady and said withi cried once him i tim shoulder have only voice have him and very have faltered often exclaimed indeed peter that another his upon last with at i so so cheerful walk fast have walk known and
891,so had all,so had all
892,but he was very light to carry she resumed intent upon her work and his father loved him so that it was no trouble no trouble,he was carry loved very resumed her father intent upon light his she no trouble him it work trouble so was no and to but that
893,and there is your father at the door she hurried out to meet him and little bob in his comforter he had need of it poor fellowcame in,is poor had your meet at fellowcame door comforter she there him of father out and the to need he in in little it hurried his bob and
894,his tea was ready for him on the hob and they all tried who should help him to it most,most tried tea on and they him all him it ready for the should to help hob his was who
895,then the two young cratchits got upon his knees and laid each child a little cheek against his face as if they said dont mind it father,face young against dont each got if a they little cheek cratchits said it and mind two his father his child then the laid knees upon as
896,dont be grieved bob was very cheerful with them and spoke pleasantly to all the family,to the them be and was dont grieved bob family spoke cheerful all with pleasantly very
897,he looked at the work upon the table and praised the industry and speed of mrs cratchit and the girls,the and of the he and work cratchit mrs and at table industry the the praised girls looked upon speed
898,they would be done long before sunday he said,he said before done they long would be sunday
899,sunday you went today then robert said his wife,you today robert wife his went said sunday then
900,yes my dear returned bob i wish you could have gone,yes i dear bob wish returned have could you my gone
901,it would have done you good to see how green a place it is,would is you it how to green done it have good a place see
902,but youll see it often,often it but see youll
903,i promised him that i would walk there on a sunday my little little child cried bob my little child he broke down all at once,my a he promised sunday my once i cried bob broke child on little him little little at down walk child would that all there i
904,he couldnt help it,help it couldnt he
905,if he could have helped it he and his child would have been farther apart perhaps than they were,farther have his perhaps child he if it were they and than apart helped have would he been could
906,he left the room and went upstairs into the room above which was lighted cheerfully and hung with christmas there was a chair set close beside the child and there were signs of some one having been there lately,of having a was he above the there chair been the some set there child room room cheerfully with signs and was close and lighted into one upstairs hung the which christmas went and there left beside were lately
907,poor bob sat down in it and when he had thought a little and composed himself he kissed the little face,he kissed himself composed down a sat face when poor little and it he had in little and bob the thought
908,he was reconciled to what had happened and went down again quite happy,happy went and down happened was he reconciled what to quite again had
909,they drew about the fire and talked the girls and mother working still,the fire still they mother drew about girls and talked the and working
910,bob told them of the extraordinary kindness of mr scrooges nephew whom he had scarcely seen but once and who meeting him in the street that day and seeing that he looked a littlejust a little down you know said bob inquired what had happened to distress him,him the day had scarcely bob him of he distress street little them littlejust he happened and who whom mr and seeing to told kindness a scrooges know what a had inquired looked but once that seen that nephew of the you extraordinary in bob down meeting said
911,on which said bob for he is the pleasantestspoken gentleman you ever heard i told him,him he pleasantestspoken which i bob you gentleman ever the said heard for is on told
912,i am heartily sorry for it mr cratchit he said and heartily sorry for your good wife by the bye how he ever knew that i dont know knew what my dear why that you were a good wife replied bob everybody knows that said peter very well observed my boy cried bob i hope they do,observed dont sorry heartily and your good that that hope well he good i cratchit a said mr do ever for they i knows wife boy am sorry said that very i bob bye were dear heartily what by bob peter cried it for knew wife everybody knew the he you how know replied my my why
913,heartily sorry he said for your good wife,good said heartily wife sorry for your he
914,if i can be of service to you in any way he said giving me his card thats where i live,any card thats way live giving to in where i of said me i can he if you be his service
915,pray come to me now it wasnt cried bob for the sake of anything he might be able to do for us so much as for his kind way that this was quite delightful,able much wasnt anything might for bob he us his for me cried kind sake pray come so this for quite now way to was it that as do be to delightful of the
916,it really seemed as if he had known our tiny tim and felt with us im sure hes a good soul said mrs cratchit you would be surer of it my dear returned bob if you saw and spoke to him,known would surer as really soul spoke bob you saw our you with to good seemed us tiny if returned him hes be sure it had and it if said he a dear tim cratchit of my mrs felt im and
917,i shouldnt be at all surprised mark what i sayif he got peter a better situation only hear that peter said mrs cratchit and then cried one of the girls peter will be keeping company with some one and setting up for himself get along with you retorted peter grinning,peter shouldnt all better be one retorted he only for along got up grinning the i with cratchit peter cried himself sayif peter said and and at be a of get what keeping will one mark company situation setting then peter with you surprised hear that mrs girls i some
918,its just as likely as not said bob one of these days though theres plenty of time for that my dear,of not days one of said dear that likely just theres though for as its bob time plenty as my these
919,but however and whenever we part from one another i am sure we shall none of us forget poor tiny timshall weor this first parting that there was among us never father cried they all,all weor sure we this however they whenever us i but none that from forget am another timshall of shall one we parting and never cried us tiny poor father among first there part was
920,and i know said bob i know my dears that when we recollect how patient and how mild he was although he was a little little child we shall not quarrel easily among ourselves and forget poor tiny tim in doing it no never father they all cried again,father all child little we not dears never know poor tiny in we he he i i forget again and was mild ourselves doing patient said it they when cried quarrel my recollect tim was no how although a among how bob know easily that and little shall and
921,i am very happy said little bob i am very happy mrs cratchit kissed him his daughters kissed him the two young cratchits kissed him and peter and himself shook hands,his i himself said bob kissed little very peter the am cratchits him him kissed and happy cratchit happy and am mrs daughters young i two shook kissed very him hands
922,spirit of tiny tim thy childish essence was from god spectre said scrooge something informs me that our parting moment is at hand,essence was thy something at from childish tim god informs parting that scrooge spectre me hand is of spirit tiny our moment said
923,i know it but i know not how,it not i know but i how know
924,tell me what man that was whom we saw lying dead the ghost of christmas yet to come conveyed him as beforethough at a different time he thought indeed there seemed no order in these latter visions save that they were in the futureinto the resorts of business men but showed him not himself,futureinto tell lying himself of save not yet in showed at whom as but me him come there no different of order men beforethough these to conveyed time what in we that that latter were saw the man seemed he business the a the him thought visions they christmas was dead indeed resorts ghost
925,indeed the spirit did not stay for anything but went straight on as to the end just now desired until besought by scrooge to tarry for a moment,to until moment went on besought scrooge for but for indeed tarry now spirit just stay end as desired to by anything the the straight a did not
926,this court said scrooge through which we hurry now is where my place of occupation is and has been for a length of time,we court now is my is time where of of been place occupation hurry said has a which this for through and scrooge length
927,i see the house,i house the see
928,let me behold what i shall be in days to come the spirit stopped the hand was pointed elsewhere,to elsewhere what spirit the be let pointed days in behold was i the come hand stopped shall me
929,the house is yonder scrooge exclaimed,yonder house is exclaimed the scrooge
930,why do you point away the inexorable finger underwent no change,you inexorable no the do away change underwent why finger point
931,scrooge hastened to the window of his office and looked in,window the hastened office of scrooge his looked to and in
932,it was an office still but not his,office still but not it an was his
933,the furniture was not the same and the figure in the chair was not himself,was was in not the himself furniture the the same and the chair figure not
934,the phantom pointed as before,the pointed phantom before as
935,he joined it once again and wondering why and whither he had gone accompanied it until they reached an iron gate,he it accompanied and iron why gate it reached whither until they joined once had gone and he again wondering an
936,he paused to look round before entering,before round he entering look to paused
937,a churchyard,churchyard a
938,here then the wretched man whose name he had now to learn lay underneath the ground,ground to name here had the the now underneath whose wretched lay he learn then man
939,it was a worthy place,a it place was worthy
940,walled in by houses overrun by grass and weeds the growth of vegetations death not life choked up with too much burying fat with repleted appetite,repleted with in life much weeds fat too and of walled burying houses vegetations by growth by death not appetite choked up the overrun grass with
941,a worthy place the spirit stood among the graves and pointed down to one he advanced towards it trembling,he it the to worthy and pointed towards graves trembling place the down stood a spirit among advanced one
942,the phantom was exactly as it had been but he dreaded that he saw new meaning in its solemn shape,solemn he as it been but had new meaning shape its was in exactly dreaded he the that saw phantom
943,before i draw nearer to that stone to which you point said scrooge answer me one question,nearer that you answer to to point stone before scrooge which i said question one me draw
944,are these the shadows of the things that will be or are they shadows of things that may be only still the ghost pointed downward to the grave by which it stood,be things that the the grave are the shadows pointed will shadows of it ghost that which only the these still by downward may are things they be stood to of or
945,mens courses will foreshadow certain ends to which if persevered in they must lead said scrooge but if the courses be departed from the ends will change,will change the but they ends said will foreshadow lead from the scrooge if be ends departed if mens which in to persevered courses courses must certain
946,say it is thus with what you show me the spirit was immovable as ever,what was say me it the immovable spirit show you as thus with ever is
947,scrooge crept towards it trembling as he went and following the finger read upon the stone of the neglected grave his own name ebenezer scrooge am i that man who lay upon the bed he cried upon his knees,towards he the name stone and the of neglected the he scrooge lay i upon finger his scrooge man knees own bed the am his it who cried went that ebenezer trembling grave upon following crept upon read as
948,the finger pointed from the grave to him and back again,back again finger to the and him from grave pointed the
949,no spirit oh no no the finger still was there,oh no the there no no spirit was finger still
950,spirit he cried tight clutching at its robe hear me i am not the man i was,robe spirit tight not he me cried am i man the clutching hear was its at i
951,i will not be the man i must have been but for this intercourse,be been for not i this must have but i will intercourse man the
952,why show me this if i am past all hope for the first time the hand appeared to shake,appeared why for shake past to hope i the am this me show all if hand time the first
953,good spirit he pursued as down upon the ground he fell before it your nature intercedes for me and pities me,for down spirit your intercedes me fell he nature the it upon pities as good me pursued ground and before he
954,assure me that i yet may change these shadows you have shown me by an altered life the kind hand trembled,i yet you kind the shown hand by assure change shadows me life me that trembled altered may have these an
955,i will honour christmas in my heart and try to keep it all the year,keep and heart it i christmas my will honour year to try the in all
956,i will live in the past the present and the future the spirits of all three shall strive within me,the strive future and present the in of the spirits me within all live past shall i three will the
957,i will not shut out the lessons that they teach,not out i will shut that lessons they teach the
958,oh tell me i may sponge away the writing on this stone in his agony he caught the spectral hand,the me the agony away may in he stone his oh spectral tell on writing caught this hand i sponge
959,it sought to free itself but he was strong in his entreaty and detained it,free it in his it and he strong to itself was entreaty detained sought but
960,the spirit stronger yet repulsed him,spirit the yet repulsed him stronger
961,holding up his hands in a last prayer to have his fate reversed he saw an alteration in the phantoms hood and dress,in have in reversed the up a hands dress and his holding alteration his prayer an saw he fate last phantoms hood to
962,it shrunk collapsed and dwindled down into a bedpost,and dwindled bedpost down it a into collapsed shrunk
963,stave v the end of it yes and the bedpost was his own,was bedpost it the and v end yes his own stave the of
964,the bed was his own the room was his own,was the his own room his bed own was the
965,best and happiest of all the time before him was his own to make amends in i will live in the past the present and the future scrooge repeated as he scrambled out of bed,as make bed him present and past live scrambled of in the the future and amends scrooge will before of repeated out was the own best time to the he his all happiest in i
966,the spirits of all three shall strive within me,of spirits me strive all three within the shall
967,oh jacob marley heaven and the christmas time be praised for this i say it on my knees old jacob on my knees he was so fluttered and so glowing with his good intentions that his broken voice would scarcely answer to his call,oh scarcely knees his with praised to so and knees i glowing on for old his so christmas and his my heaven that answer this marley on the would was jacob broken be call my voice intentions it jacob say good he fluttered time
968,he had been sobbing violently in his conflict with the spirit and his face was wet with tears,been his sobbing tears violently had face his he and conflict spirit the with in was wet with
969,they are not torn down cried scrooge folding one of his bedcurtains in his arms they are not torn down rings and all,cried bedcurtains not scrooge arms not torn they down down in his of rings his and are all one are folding torn they
970,they are herei am herethe shadows of the things that would have been may be dispelled,have be that shadows been am the dispelled herei may things of they herethe would are
971,they will be,they will be
972,i know they will his hands were busy with his garments all this time turning them inside out putting them on upside down tearing them mislaying them making them parties to every kind of extravagance,tearing know every will parties turning time out of them to busy extravagance this were them i making on with them all upside inside putting garments hands his them mislaying they them kind his down
973,i dont know what to do cried scrooge laughing and crying in the same breath and making a perfect laocoön of himself with his stockings,perfect scrooge and same and making of dont breath know stockings the crying laughing what with do cried his in himself to i laocoön a
974,i am as light as a feather i am as happy as an angel i am as merry as a schoolboy,happy i feather merry am as a an am as light schoolboy a angel am as i as i as as
975,i am as giddy as a drunken man,a i giddy as am drunken man as
976,a merry christmas to everybody a happy new year to all the world,year merry all new happy everybody christmas world to the a a to
977,hallo here whoop hallo he had frisked into the sittingroom and was now standing there perfectly winded,had he sittingroom standing into frisked hallo now here hallo was the there whoop perfectly and winded
978,theres the saucepan that the gruel was in cried scrooge starting off again and going round the fireplace,the starting was fireplace that saucepan and the again off gruel round theres the cried scrooge going in
979,theres the door by which the ghost of jacob marley entered theres the corner where the ghost of christmas present sat theres the window where i saw the wandering spirits its all right its all true it all happened,ghost marley right entered the the which its spirits window of ghost christmas corner saw the true the theres where theres theres the its all of all happened wandering all i by door the present where sat it jacob
980,ha ha ha really for a man who had been out of practice for so many years it was a splendid laugh a most illustrious laugh,most illustrious laugh practice it ha been of really ha a years a man so for splendid laugh for had out was many who a ha
981,the father of a long long line of brilliant laughs i dont know what day of the month it is said scrooge i dont know how long ive been among the spirits i dont know anything,i long dont father the know a month among dont what ive i long of is spirits i day been laughs it anything of of long brilliant how scrooge line know the dont said know the
982,im quite a baby,baby im quite a
983,never mind,never mind
984,i dont care,i dont care
985,id rather be a baby,rather id baby a be
986,hallo whoop hallo here he was checked in his transports by the churches ringing out the lustiest peals he had ever heard,hallo ever ringing lustiest the he by churches his transports checked heard had in the was he peals hallo out whoop here
987,clash clang hammer ding dong bell,ding hammer dong bell clash clang
988,bell dong ding hammer clang clash oh glorious glorious running to the window he opened it and put out his head,put opened clang hammer he ding clash to oh bell head running it dong glorious out and the glorious his window
